x;y;lat;lng;latdms;lngdms
6489714;1538977;58.52853261454086;16.474213781120987;"N 58° 312 42.723 ";"E 16° 282 27.173 "
6489650;1539100;58.52794708692319;16.47631392925788;"N 58° 312 40.613 ";"E 16° 282 34.733 "
6487034;1538244;58.5045388151001;16.46118454850885;"N 58° 302 16.343 ";"E 16° 272 40.263 "
6488210;1538482;58.51507499095787;16.465464564247004;"N 58° 302 54.273 ";"E 16° 272 55.673 "
6486658;1537221;58.50125171955987;16.443577045436687;"N 58° 302 4.513 ";"E 16° 262 36.883 "
6491550;1540250;58.54489890211652;16.496386538249578;"N 58° 322 41.643 ";"E 16° 292 46.993 "
6491611;1540097;58.54546058452357;16.493770037910934;"N 58° 322 43.663 ";"E 16° 292 37.573 "
6487100;1545900;58.50439425648561;16.592508749434266;"N 58° 302 15.823 ";"E 16° 352 33.033 "
6487164;1544957;58.50506681272234;16.57634766849842;"N 58° 302 18.243 ";"E 16° 342 34.853 "
6487000;1545250;58.503564361839054;16.581340641691718;"N 58° 302 12.833 ";"E 16° 342 52.833 "
6487000;1545250;58.503564361839054;16.581340641691718;"N 58° 302 12.833 ";"E 16° 342 52.833 "
6489494;1531837;58.527136475778256;16.351633551200123;"N 58° 312 37.693 ";"E 16° 212 5.883 "
6489494;1531837;58.527136475778256;16.351633551200123;"N 58° 312 37.693 ";"E 16° 212 5.883 "
6486130;1540661;58.496205396417075;16.502479483861;"N 58° 292 46.343 ";"E 16° 302 8.933 "
6486125;1540663;58.496160325167914;16.50251289070455;"N 58° 292 46.183 ";"E 16° 302 9.053 "
6486122;1540667;58.496133021968426;16.502580947905496;"N 58° 292 46.083 ";"E 16° 302 9.293 "
6486920;1538800;58.503466423618924;16.47070159495775;"N 58° 302 12.483 ";"E 16° 282 14.533 "
6484317;1466583;58.48053339997568;15.232370457060426;"N 58° 282 49.923 ";"E 15° 132 56.533 "
6484310;1466570;58.4804695622595;15.232148657396438;"N 58° 282 49.693 ";"E 15° 132 55.743 "
6484310;1466570;58.4804695622595;15.232148657396438;"N 58° 282 49.693 ";"E 15° 132 55.743 "
6484310;1466570;58.4804695622595;15.232148657396438;"N 58° 282 49.693 ";"E 15° 132 55.743 "
6483355;1466523;58.471892647555414;15.231483049144193;"N 58° 282 18.813 ";"E 15° 132 53.343 "
6481320;1466500;58.45362206689687;15.23138714861079;"N 58° 272 13.043 ";"E 15° 132 52.993 "
6478007;1461278;58.4234485812268;15.142510001698557;"N 58° 252 24.413 ";"E 15° 82 33.043 "
6480399;1470301;58.44562913738791;15.296608066106266;"N 58° 262 44.263 ";"E 15° 172 47.793 "
6480190;1468479;58.44362507686168;15.26543785813936;"N 58° 262 37.053 ";"E 15° 152 55.583 "
6498895;1521347;58.612171531627794;16.172467759503323;"N 58° 362 43.823 ";"E 16° 102 20.883 "
